
              Channed ID     Channel Title
                                       Happy Earth Day 2020!   PLsNB4peY6C6KgXMx3pcy6wJBox33LFpFX   13 2020-04-22

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCoxcjq-8xIDTYp3uz647V5A Numberphile
                            Brian Butterworth on Numberphile   PLt5AfwLFPxWKbEst-0105p-AGlIkUZ6sM    3 2020-11-13
                            Fields Medallists on Numberphile   PLt5AfwLFPxWIDErJihuPX2S7E-0rnkaeu   12 2020-08-11
                                    Triangles on Numberphile   PLt5AfwLFPxWJ7AKrG9_sQPw6hsR1QnFXn    9 2020-03-22
                                 Tom Crawford on Numberphile   PLt5AfwLFPxWJ2TNTA79reKQ6S88kTvDR-    8 2020-02-19
                                 Graph Theory on Numberphile   PLt5AfwLFPxWIO0rkWl44MhS_PLLqu3Kvr    6 2019-12-23

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCskU_g7t6b5ecsA1CTS3y9Q TED-Ed Student Talks
                             Student Talks Virtual Showcases   PL71qiWRg4XP-cpEoLudjirCWHbCxXSnm9    1 2020-09-21
                              Confronting the Climate Crisis   PL71qiWRg4XP-SddW_09RJIiyyN0sYmj-h    7 2020-04-21
                                                     YMCA175   PL71qiWRg4XP-GTNMnBblaY52ub-HRnKyc   11 2019-10-21
                                            Students at TEDx   PL71qiWRg4XP8McLOEbLXqOIcqO4iEtI54   53 2019-06-04
                         Celebrating Mental Health Awareness   PL71qiWRg4XP_xyBKsFkBsDgUGiib9pPLQ   10 2019-05-28

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCsooa4yRKGN_zEE8iknghZA TED-Ed
                             How to avoid a climate disaster   PLJicmE8fK0Ej2IjNSQf_G7GrKFBcsaCLJ    5 2021-03-01
                               Hidden Figures: Black History   PLJicmE8fK0Ege5CYPbAS4QlvZQw7hbm5C   13 2021-02-09
                              Elections in the United States   PLJicmE8fK0EiNWhhy5mlY5VlBaO4AEfxl    9 2020-11-02
                     Think Like a Coder #CampYouTube #WithMe   PLJicmE8fK0EiFngx7wBddZDzxogj-shyW   13 2020-06-12
              Creative Writing Workshop #CampYouTube #WithMe   PLJicmE8fK0EgaT9PaLkW977tUpmUXtnAa   11 2020-06-12

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCuZqbjwkSjoxy1aRCcDcYhg Harvard University Press
                                            Digital Projects   PLPs-dcJ6dPiIiaOXchnZIY7NyARCIgTcw    3 2014-03-06
                                            Military History   PLPs-dcJ6dPiI2zotHCM2sZqZ_G7VKC16w    6 2012-09-09
                                                   Economics   PLPs-dcJ6dPiIdFxM3pDB9fb_qSkOnW17k    8 2012-09-08
                                                     History   PLPs-dcJ6dPiJVK9nazIsV4SKlu1gBjWRC   23 2012-09-08
                                                   Favorites             FLuZqbjwkSjoxy1aRCcDcYhg    6 2009-02-03

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCvQECJukTDE2i6aCoMnS-Vg Big Think
                                      Chris Voss | Big Think   PL5uULy4b0kV7RwIeHF0DK9vxtl6bS0yEY    5 2021-03-18
                                               Communication   PL5uULy4b0kV59kkrhV3jX6tmqCNezFvRg    9 2021-03-18
                       How to learn from failure | Big Think   PL5uULy4b0kV69hSOeBc4wNIWjqFKz562O   10 2021-03-13
                                 Robert Cialdini | Big Think   PL5uULy4b0kV7TQu5dVUxy90q0YILCACQb    7 2021-03-08
                                  Niall Ferguson | Big Think   PL5uULy4b0kV6rhJcuoVM8ok4v_SXjLPRk    9 2021-03-03
